2Dscore,3Dscore,active,
0.15,0.612,0,
0.0943396226415,0.585,0,
0.0196078431373,0.627,0,
0.063829787234,0.771,0,
0.0869565217391,0.781,0,
0.0816326530612,0.668,1,
0.0925925925926,0.527,1,
0.162162162162,0.768,0,
0.0625,0.64,1,
0.0645161290323,0.239,0,
0.025641025641,0.745,0,
0.0294117647059,0.408,0,
0.2,0.726,0,
0.1,0.824,0,
0.0526315789474,0.883,0,
0.0740740740741,0.921,0,
0.0740740740741,0.909,0,
0.0892857142857,0.94,0,
0.135593220339,0.743,0,
0.378378378378,0.849,0,
0.156862745098,0.902,0,
0.0555555555556,0.32,0,
0.0769230769231,0.415,0,
0.03125,0.242,0,
0.0227272727273,0.197,0,
0.0,0.211,0,
0.0,0.259,0,
0.0,0.263,0,
0.0,0.224,0,
0.0222222222222,0.177,0,
0.0344827586207,0.261,0,
0.0,0.215,0,
0.05,0.525,0,
0.025641025641,0.591,0,
0.0196078431373,0.614,0,
0.0,0.487,0,
0.0232558139535,0.549,0,
0.0,0.82,0,
0.0,0.517,0,
0.0192307692308,0.553,0,
0.0277777777778,0.591,0,
0.0,0.565,0,
0.0606060606061,0.414,0,
0.0444444444444,0.336,0,
0.025,0.36,0,
0.0263157894737,0.443,0,
0.0263157894737,0.449,0,
0.0243902439024,0.384,0,
0.0434782608696,0.303,0,
0.0322580645161,0.446,0,
0.025641025641,0.368,0,
0.157894736842,0.769,0,
0.132075471698,0.759,1,
0.16,0.91,1,
0.16,0.897,1,
0.173076923077,0.8,1,
0.196428571429,0.732,0,
0.214285714286,0.711,0,
0.156862745098,0.761,0,
0.161290322581,0.832,0,
0.206896551724,0.758,0,
0.228070175439,0.748,0,
0.216666666667,0.781,0,
0.144927536232,0.77,0,
0.105263157895,0.753,1,
0.0923076923077,0.78,0,
0.163636363636,0.813,1,
0.36170212766,0.802,1,
0.313725490196,0.857,0,
0.106060606061,0.81,0,
0.0754716981132,0.807,0,
0.0833333333333,0.851,0,
0.24,0.987,1,
