2Dscore,3Dscore,active
0.078125,0.915,0
0.379310345,0.914,0
0.379310345,0.914,1
0.304347826,0.914,1
0.304347826,0.914,0
0.25,0.914,0
0.25,0.914,0
0.243902439,0.914,1
0.153846154,0.914,0
0.04,0.914,0
0.55,0.913,1
0.307692308,0.913,0
0.288135593,0.913,0
0.041666667,0.913,0
0.02,0.913,0
0.102564103,0.912,0
0.102040816,0.912,0
0.581395349,0.911,0
0.275362319,0.911,1
0.235294118,0.911,0
0.125,0.911,0
0.125,0.911,0
0.714285714,0.91,0
0.377777778,0.91,1
0.292682927,0.91,0
0.257142857,0.91,0
0.16,0.91,1
0.35483871,0.909,0
0.288888889,0.909,1
0.279069767,0.909,0
0.257142857,0.909,1
0.238095238,0.909,0
0.2,0.909,0
0.2,0.909,0
0.076923077,0.909,0
0.074074074,0.909,0
0.074074074,0.909,0
0.285714286,0.908,0
0.181818182,0.907,1
0.169811321,0.907,0
0.279069767,0.906,0
0.176470588,0.906,0
0.379310345,0.905,0
0.224489796,0.905,1
0.195652174,0.905,1
0.117647059,0.905,0
0.25,0.904,0
0.184210526,0.904,0
0.078431373,0.904,0
0.02,0.904,0
0.275,0.903,0
0.041666667,0.903,0
0.041666667,0.903,0
0.04,0.903,0
0.41025641,0.902,1
0.243902439,0.902,1
0.243902439,0.902,0
0.214285714,0.902,0
0.212765957,0.902,0
0.156862745,0.902,0
0.156862745,0.902,0
0.2,0.901,0
0.2,0.901,0
0.176470588,0.901,0
0.083333333,0.9,0
0.078431373,0.9,0
0.333333333,0.899,1
0.25,0.899,1
0.173913043,0.899,0
0.173913043,0.899,0
0.025641026,0.899,0
0.025641026,0.899,0
0.275862069,0.898,1
0.275862069,0.898,0
0.25,0.898,0
0.243902439,0.898,0
0.104166667,0.898,0
0.022222222,0.898,0
0.292682927,0.897,0
0.25,0.897,1
0.195652174,0.897,0
0.192307692,0.897,0
0.16,0.897,1
0.169811321,0.896,0
0.075471698,0.896,0
0.522727273,0.895,1
0.522727273,0.895,0
0.208333333,0.895,0
0.2,0.895,1
0.111111111,0.895,0
0.078947368,0.895,0
0.068181818,0.895,0
0.379310345,0.894,0
0.225,0.894,0
0.2,0.894,1
0.2,0.894,0
0.025641026,0.894,0
0.405405405,0.893,1
0.275,0.893,0
0.078431373,0.893,0
0.04,0.893,0
0.275862069,0.892,1
0.244897959,0.892,0
0.195652174,0.892,0
0.186440678,0.892,0
