2Dscore,3Dscore,active,
0.037037037037,0.122,0,
0.146341463415,0.639,1,
0.0925925925926,na,0,
0.0192307692308,0.582,1,
0.0625,0.836,1,
0.0625,0.897,1,
0.125,0.338,0,
0.0909090909091,0.276,0,
0.257142857143,0.0,0,
0.155555555556,0.162,0,
0.128205128205,0.0812,0,
0.151515151515,0.886,1,
0.15,0.42,0,
0.0869565217391,0.0,0,
0.0322580645161,0.0,0,
0.0384615384615,0.116,0,
0.121951219512,0.444,0,
0.288888888889,0.37,0,
0.0612244897959,0.302,0,
0.136363636364,0.518,0,
0.111111111111,0.31,0,
0.104166666667,1.09,1,
0.0727272727273,0.581,1,
0.102564102564,0.161,0,
0.0625,0.781,1,
0.189189189189,0.178,0,
0.405405405405,0.816,1,
0.0333333333333,0.327,0,
0.027027027027,0.0672,0,
0.03125,0.0,0,
0.181818181818,na,0,
0.103448275862,0.542,0,
0.0357142857143,0.0181,0,
0.0980392156863,0.0249,0,
0.0769230769231,0.00612,0,
0.134615384615,0.168,0,
0.120689655172,0.284,0,
0.289473684211,0.388,0,
0.117647058824,0.2,0,
0.179487179487,0.168,0,
0.0869565217391,0.0,0,
0.0322580645161,0.0,0,
0.0384615384615,0.269,0,
0.15,0.671,0,
0.0943396226415,0.419,0,
0.0196078431373,0.491,0,
0.063829787234,0.689,0,
0.0869565217391,0.512,0,
0.0816326530612,1.04,1,
0.0925925925926,0.653,1,
0.162162162162,na,0,
0.0625,1.07,1,
0.0645161290323,0.169,0,
0.025641025641,0.0854,0,
0.0294117647059,0.0,0,
0.2,na,0,
0.1,0.613,0,
0.0526315789474,0.0405,0,
0.0740740740741,0.0545,0,
0.0740740740741,0.0235,0,
0.0892857142857,0.25,0,
0.135593220339,0.267,0,
0.378378378378,0.567,0,
0.156862745098,0.286,0,
0.0555555555556,0.292,0,
0.0769230769231,0.0,0,
0.03125,0.0,0,
0.0227272727273,0.356,0,
0.0,0.0,0,
0.0,0.0,0,
0.0,0.0,0,
0.0,0.00905,0,
0.0222222222222,0.0,0,
0.0344827586207,0.756,0,
0.0,0.0,0,
0.05,0.0,0,
0.025641025641,0.0,0,
0.0196078431373,0.177,0,
0.0,0.0,0,
0.0232558139535,0.0,0,
0.0,0.0,0,
0.0,0.0,0,
0.0192307692308,0.0,0,
0.0277777777778,0.275,0,
0.0,0.0,0,
0.0606060606061,0.463,0,
0.0444444444444,na,0,
0.025,0.44,0,
0.0263157894737,0.804,0,
0.0263157894737,0.496,0,
0.0243902439024,0.271,0,
0.0434782608696,0.33,0,
0.0322580645161,0.0,0,
0.025641025641,0.35,0,
0.157894736842,0.0508,0,
0.132075471698,0.702,1,
0.16,0.8,1,
